"scheme_id","unit_id","objective"
"y12m","1pure1","perform essential algebraic manipulations, such as expanding brackets, collecting like terms, factorising etc;"
"y12m","1pure1","use the laws of indices for all rational exponents;"
"y12m","1pure1","use and manipulate surds, including rationalising the denominator."
"y12m","1pure1","solve a quadratic equation by factorising;"
"y12m","1pure1","work with quadratic functions and their graphs;"
"y12m","1pure1","use the discriminant of a quadratic function, including the conditions for real and repeated roots;"
"y12m","1pure1","complete the square;"
"y12m","1pure1","solve quadratic equations, including in a function of the unknown."
"y12m","1pure1","solve linear simultaneous equations using elimination and substitution;"
"y12m","1pure1","use substitution to solve simultaneous equations where one equation is linear and the other quadratic."
"y12m","1pure1","solve linear and quadratic inequalities;"
"y12m","1pure1","know how to express solutions through correct use of 'and' and 'or' or through set notation;"
"y12m","1pure1","interpret linear and quadratic inequalities graphically;"
"y12m","1pure1","represent linear and quadratic inequalities graphically."
"y12m","1pure1","use graphs of functions;"
"y12m","1pure1","sketch curves defined by simple equations including polynomials;"
"y12m","1pure1","use intersection points of graphs to solve equations."
"y12m","1pure1","understand the effect of simple transformations on the graph of y = f(x);"
"y12m","1pure1","sketch the result of a simple transformation given the graph of any function y = f(x)."
"y12m","1pure2","use the equation of a straight line;"
"y12m","1pure2","apply the gradient conditions for two straight lines to be parallel or perpendicular;"
"y12m","1pure2","find lengths and areas using equations of straight lines;"
"y12m","1pure2","use straight-line graphs in modelling."
"y12m","1pure2","find the midpoint of a line segment;"
"y12m","1pure2","use the equation of a circle;"
"y12m","1pure2","find points of intersection between a circle and a line;"
"y12m","1pure2","use the properties of chords and tangents."
"y12m","1pure3","use algebraic division;"
"y12m","1pure3","apply the factor theorem;"
"y12m","1pure3","fully factorise a cubic expression;"
"y12m","1pure3","use the structure of mathematical proof, proceeding from given assumptions through a series of logical steps to a conclusion;"
"y12m","1pure3","use methods of proof, including proof by deduction, proof by exhaustion and disproof by counter-example."
"y12m","1pure3","use the binomial expansion of (a + bx)n for positive integer n;"
"y12m","1pure3","find an unknown coefficient of a binomial expansion."
"y12m","1pure4","use the definitions of sine, cosine and tangent for all arguments;"
"y12m","1pure4","use the sine and cosine rules;"
"y12m","1pure4","use the area of a triangle in the form 2 ?? sin ?;"
"y12m","1pure4","use the sine, cosine and tangent functions; their graphs, symmetries and periodicity."
"y12m","1pure4","solve trigonometric equations within a given interval"
"y12m","1pure4","use tan ? = sin ? / cos ?"
"y12m","1pure4","use sin2 ? + cos2 ? = 1"
"y12m","1pure5","use vectors in two dimensions;"
"y12m","1pure5","calculate the magnitude and direction of a vector and convert between component form and magnitude/direction form;"
"y12m","1pure5","add vectors diagrammatically and perform the algebraic operations of vector addition and multiplication by scalars, and understand their geometrical interpretations."
"y12m","1pure5","use position vectors;"
"y12m","1pure5","calculate the distance between two points represented by position vectors;"
"y12m","1pure5","use vectors to solve problems in pure mathematics and in context, (including forces)."
"y12m","1pure6","use the derivative of f(x) as the gradient of the tangent to the graph of y = f(x) at a general point (x, y);"
"y12m","1pure6","understand the gradient of the tangent as a limit and its interpretation as a rate of change;"
"y12m","1pure6","sketch the gradient function for a given curve;"
"y12m","1pure6","find second derivatives;"
"y12m","1pure6","understand differentiation from first principles for small positive integer powers of x;"
"y12m","1pure6","differentiate ?^? , for rational values of n, and related constant multiples, sums and differences."
"y12m","1pure6","apply differentiation to find gradients, tangents and normals, maxima and minima and stationary points;"
"y12m","1pure6","identify where functions are increasing or decreasing."
"y12m","1pure7","use the Fundamental Theorem of Calculus;"
"y12m","1pure7","integrate ? ? (excluding n = ?1), and related sums, differences and constant multiples."
"y12m","1pure7","evaluate definite integrals;"
"y12m","1pure7","use a definite integral to find the area under a curve."
"y12m","1pure8","use the function ? ? and its graph, where a is positive;"
"y12m","1pure8","use the function e? and its graph;"
"y12m","1pure8","know that the gradient of e?? is equal to ?e?? and hence understand why the exponential model is suitable in many applications;"
"y12m","1pure8","use the definition of log ? ? as the inverse of ? ? , where a is positive and ??0;"
"y12m","1pure8","use the function ln ? and its graph;"
"y12m","1pure8","use ln x as the inverse function of e? ;"
"y12m","1pure8","use the laws of logarithms"
"y12m","1pure8","solve equations of the form ? ? = ?;"
"y12m","1pure8","use logarithmic graphs to estimate parameters in relationships of the form ? = ?? ? and ? = ?? ? , given data for x and y;"
"y12m","1pure8","use exponential growth and decay in modelling, giving consideration to limitations and refinements of exponential models."
"y12m","1stats1","use the terms 'population' and 'sample';"
"y12m","1stats1","know how to use samples to make informal inferences about the population;"
"y12m","1stats1","describe advantages and disadvantages of sampling compared to census."
"y12m","1stats1","use sampling techniques;"
"y12m","1stats1","describe advantages and disadvantages of sampling techniques;"
"y12m","1stats1","select or critique sampling techniques in the context of solving a statistical problem;"
"y12m","1stats1","understand that different samples can lead to different conclusions about the population."
"y12m","1stats2","calculate measures of location, mean, median and mode;"
"y12m","1stats2","calculate measures of variation, standard deviation, variance, range and interpercentile range;"
"y12m","1stats2","interpret and draw inferences from summary statistics."
"y12m","1stats2","know how to interpret diagrams for single variable data;"
"y12m","1stats2","know how to interpret scatter diagrams and regression lines for bivariate data;"
"y12m","1stats2","recognise the explanatory and response variables;"
"y12m","1stats2","make predictions using the regression line and understand its limitations;"
"y12m","1stats2","understand informal interpretation of correlation;"
"y12m","1stats2","understand that correlation does not imply causation;"
"y12m","1stats2","recognise and interpret possible outliers in data sets and statistical diagrams;"
"y12m","1stats2","select or critique data presentation techniques in the context of a statistical problem;"
"y12m","1stats2","clean data, including dealing with missing data, errors and outliers."
"y12m","1stats3","use mutually exclusive and independent events when calculating probabilities;"
"y12m","1stats3","make links to discrete and continuous distributions."
"y12m","1stats4","use simple, discrete probability distributions, including the binomial distribution;"
"y12m","1stats4","identify the discrete uniform distribution;"
"y12m","1stats4","calculate probabilities using the binomial distribution."
"y12m","1stats5","apply the language of statistical hypothesis testing, developed through a binomial model."
"y12m","1stats5","conduct a statistical hypothesis test for the proportion in the binomial distribution and interpret the results in context;"
"y12m","1stats5","understand that a sample is being used to make an inference about the population;"
"y12m","1stats5","appreciate that the significance level is the probability of incorrectly rejecting the null hypothesis."
"y12m","1mech6","understand the concept of a mathematical model, and be able to abstract from a real-world situation to a mathematical description (model);"
"y12m","1mech6","know the language used to describe simplifying assumptions;"
"y12m","1mech6","understand the particle model;"
"y12m","1mech6","be familiar with the basic terminology for mechanics;"
"y12m","1mech6","be familiar with commonly-made assumptions when using these models;"
"y12m","1mech6","analyse the model appropriately, and interpret and communicate the implications of the analysis in terms of the situation being modelled;"
